Reads	Type
248097	3
450810	3
247620	3
1074496	3
740863	3
590601	3
372125	3
70071	3
1562363	3
822064	3
1718124	3
568704	3
368349	3
283711	3
2004259	3
912082	3
2709445	3
780861	3
461066	3
2656874	3
362289	3
795284	3
683332	3
329329	3
3819402	3
612097	3
176734	3
875026	3
1640329	3
1525	3
331094	3
657437	3
417809	3
1200172	3
334696	3
234943	3
564548	3
815024	3
1163509	3
165975	3
344287	3
1127722	3
378891	3
889489	3
333685	3
430650	3
1366464	3
922147	3
514369	3
861517	3
685830	3
